pl_name,mass,vx,vy,vz,x,y,z,Cluster,centroid_mass,centroid_x,centroid_y,centroid_z
HD_220689_b,381.39409,3.20469,0.96868,-1.32051,1.38231,-0.75675,2.79954,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_221416_b,60.5,-19.25224,-1.94487,-5.53208,0.02879,0.01133,-0.10418,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_221420_b,6992.22495,-1.96061,0.97215,-0.43093,4.13291,7.76152,-1.29402,0,9333.03117,-5.00373,6.4406,-8.27413
HD_222155_b,581.62598,0.82664,1.25878,-2.88769,4.1557,-0.04405,1.17043,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_224538_b,2075.73733,3.08767,0.13517,6.10493,-1.11058,0.00553,0.56157,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_23472_b,8.32,10.38422,-14.82323,-8.05634,0.02335,-0.03717,0.09849,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_23472_c,3.41,0.11189,-0.62184,16.48325,-0.08746,0.12692,0.00538,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_23472_d,0.55,5.09243,-9.34299,30.71773,-0.0218,0.03087,0.01301,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_23472_e,0.72,10.18553,-15.55879,17.94828,-0.0258,0.03557,0.04548,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_23472_f,0.77,0.50333,-1.54963,22.33126,-0.04775,0.06917,0.00588,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_235088_b,4.2,12.00674,20.29463,0.0,0.00133,-0.00079,0.07098,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_23596_b,3786.60764,-1.57387,4.85756,-0.30395,1.45682,0.39636,-1.20916,0,9333.03117,-5.00373,6.4406,-8.27413
HD_25015_b,2884.92845,0.96943,-3.45158,0.06703,-3.37164,-0.90458,2.18335,0,9333.03117,-5.00373,6.4406,-8.27413
HD_25912_c,5252.75008,0.57393,-1.08973,0.96579,-5.42109,8.9494,13.31944,1,1102.6302929666667,-0.025847466666666624,0.05452856666666667,-0.016709300000000066
HD_260655_b,2.14,-6.10826,-31.41964,20.75458,0.0014,0.01533,0.02361,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_260655_c,3.09,1.00913,12.66027,27.1233,0.00742,0.04074,-0.01929,4,8171.52726,-8.004125,-11.006879999999999,-5.38135
HD_26161_b,9045.39646,-3.88991,-3.34586,8.37339,-0.37337,0.68524,0.10036,3,3739.7065624324323,-0.15130081081081065,0.4881935135135135,0.38931972972972967
HD_2685_b,371.8611,-2.12983,0.65301,-28.79655,0.05107,-0.00652,-0.00392,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_27631_b,495.81231,1.93379,-2.84375,-2.08527,0.02628,-1.63509,2.25418,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_27894_d,2063.65985,-0.05539,1.81649,3.42747,-1.58747,2.76807,-1.49268,2,4900.278378888889,-1.541411111111111,-1.2792355555555557,5.582717777777777
HD_28185_c,6241.83209,0.93796,-1.63698,-0.5039,-4.33346,-5.35408,9.32718,1,1102.6302929666667,-0.025847466666666624,0.05452856666666667,-0.016709300000000066
